NodeID,Status,Wealth,LastPayoff
0,0,6,"[0, 2, 0, 0, 2, 2, 0]"
1,0,6,"[2, 2, 0, 0, 0, 0, 0, 2]"
2,1,22,"[3, 3, 3, 1, 1, 1, 3, 3, 1, 3]"
3,1,11,"[3, 1, 1, 3, 3]"
4,1,5,"[1, 3, 1]"
5,0,2,"[2, 0, 0, 0, 0, 0, 0]"
6,1,9,"[3, 1, 3, 1, 1]"
7,1,13,"[3, 3, 1, 1, 1, 1, 3]"
8,0,6,"[2, 2, 0, 2]"
9,0,0,"[0, 0, 0, 0]"
10,0,4,"[0, 0, 0, 2, 2, 0]"
11,1,13,"[3, 1, 1, 3, 1, 3, 1]"
12,1,20,"[1, 3, 3, 1, 3, 1, 1, 3, 3, 1]"
13,0,8,"[0, 0, 2, 0, 2, 2, 2, 0]"
14,0,0,"[0, 0, 0, 0, 0]"
15,1,9,"[3, 3, 3]"
16,0,0,"[0, 0, 0]"
17,0,2,"[0, 0, 2]"
18,0,6,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 2]"
19,0,0,"[0, 0]"
20,1,6,"[3, 1, 1, 1]"
21,1,12,"[3, 3, 3, 1, 1, 1]"
22,0,2,"[0, 0, 0, 0, 2, 0, 0, 0]"
23,1,14,"[3, 3, 3, 3, 1, 1]"
24,1,11,"[1, 1, 3, 1, 1, 3, 1]"
25,1,15,"[3, 3, 3, 1, 1, 3, 1]"
26,1,17,"[1, 3, 3, 3, 1, 3, 3]"
27,0,2,"[0, 0, 0, 0, 0, 2, 0, 0]"
28,1,14,"[3, 3, 1, 3, 3, 1]"
29,0,2,"[2, 0, 0, 0, 0, 0, 0]"
30,0,4,"[2, 0, 0, 2, 0]"
31,0,2,"[0, 2, 0, 0, 0]"
32,1,16,"[3, 3, 3, 1, 3, 3]"
33,1,10,"[1, 1, 3, 1, 1, 3]"
34,0,6,"[2, 0, 0, 2, 2, 0]"
35,1,8,"[1, 3, 3, 1]"
36,1,7,"[1, 3, 1, 1, 1]"
37,0,4,"[0, 0, 2, 0, 2]"
38,0,8,"[2, 0, 0, 2, 2, 2]"
39,1,13,"[1, 3, 1, 3, 1, 1, 3]"
40,1,14,"[3, 3, 3, 3, 1, 1]"
41,0,4,"[0, 0, 2, 0, 0, 2]"
42,1,16,"[1, 1, 3, 3, 3, 1, 1, 1, 1, 1]"
43,1,11,"[1, 3, 1, 1, 3, 1, 1]"
44,1,6,"[3, 1, 1, 1]"
45,1,12,"[1, 3, 3, 3, 1, 1]"
46,1,16,"[1, 1, 1, 3, 3, 3, 3, 1]"
47,1,13,"[3, 3, 3, 1, 3]"
48,0,6,"[0, 2, 2, 2, 0]"
49,1,9,"[3, 3, 3]"
50,1,14,"[3, 3, 1, 1, 3, 3]"
51,0,6,"[0, 2, 2, 0, 2]"
52,1,9,"[3, 3, 3]"
53,0,10,"[0, 0, 2, 0, 0, 0, 2, 2, 2, 2]"
54,0,2,"[2, 0, 0, 0, 0, 0, 0]"
55,1,9,"[1, 3, 1, 1, 3]"
56,1,11,"[3, 1, 3, 3, 1]"
57,1,8,"[3, 1, 3, 1]"
58,1,8,"[3, 1, 3, 1]"
59,0,2,"[2, 0, 0]"
60,1,14,"[3, 1, 3, 1, 3, 3]"
61,1,18,"[3, 3, 1, 3, 3, 3, 1, 1]"
62,1,7,"[3, 3, 1]"
63,1,6,"[1, 3, 1, 1]"
64,1,12,"[1, 3, 1, 1, 1, 3, 1, 1]"
65,0,6,"[2, 0, 0, 2, 0, 0, 2]"
66,1,13,"[1, 1, 1, 1, 1, 3, 1, 3, 1]"
67,0,2,"[0, 0, 2, 0, 0, 0, 0]"
68,1,11,"[3, 1, 3, 1, 3]"
69,1,6,"[1, 3, 1, 1]"
70,0,6,"[2, 0, 2, 2]"
71,1,12,"[3, 3, 1, 1, 3, 1]"
72,1,12,"[1, 1, 1, 3, 3, 3]"
73,0,8,"[0, 2, 0, 0, 0, 0, 2, 2, 0, 2]"
74,0,4,"[2, 0, 2]"
75,1,5,"[3, 1, 1]"
76,0,4,"[0, 2, 0, 2, 0, 0, 0]"
77,0,2,"[0, 2, 0, 0, 0]"
78,1,12,"[1, 3, 1, 3, 3, 1]"
79,1,7,"[1, 3, 1, 1, 1]"
80,1,2,"[1, 1]"
81,1,16,"[3, 1, 1, 1, 3, 3, 3, 1]"
82,0,6,"[2, 2, 2, 0]"
83,0,6,"[2, 0, 0, 2, 0, 2, 0, 0]"
84,0,2,"[0, 2]"
85,0,6,"[0, 2, 0, 2, 0, 0, 2, 0]"
86,1,23,"[3, 3, 3, 1, 1, 3, 1, 1, 1, 3, 3]"
87,1,5,"[1, 1, 1, 1, 1]"
88,0,4,"[0, 0, 2, 2]"
89,0,4,"[0, 0, 2, 0, 2]"
90,1,13,"[3, 3, 1, 1, 3, 1, 1]"
91,0,6,"[0, 0, 2, 2, 2, 0]"
92,1,5,"[1, 3, 1]"
93,1,3,"[1, 1, 1]"
94,1,6,"[1, 3, 1, 1]"
95,0,8,"[0, 2, 0, 2, 0, 2, 0, 0, 2]"
96,1,16,"[1, 3, 3, 1, 3, 1, 1, 1, 1, 1]"
97,1,16,"[3, 1, 3, 1, 3, 1, 1, 3]"
98,0,6,"[2, 0, 2, 2, 0, 0]"
99,1,11,"[3, 1, 3, 3, 1]"
